Year,Netflix,Amazon Prime,Disney+,Hulu
2014,6.1,,,
2015,7.1,,,
2020,6.1,,,
2016,6.4,,,
2008,8.0,,,
2015,6.2,,,
2016,6.3,,,
2020,5.9,,,
2019,6.3,,,
2019,6.3,,,
2014,8.0,,,
2019,5.1,,,
2020,7.0,,,
2006,6.5,,,
2019,7.4,,,
2020,6.0,,,
2018,6.4,,,
2016,7.7,,,
2016,7.0,,,
2020,7.2,,,
2012,7.8,,,
2020,7.5,,,
2018,7.3,,,
2008,7.7,,,
2018,5.6,,,
2016,6.0,,,
2020,6.9,,,
2017,6.2,,,
2020,6.1,,,
2019,6.6,,,
2015,6.4,,,
2007,6.9,,,
2020,7.0,,,
2005,6.5,,,
2019,6.9,,,
2019,5.8,,,
2018,4.8,,,
2012,7.4,,,
2014,7.6,,,
2018,5.6,,,
2019,6.2,,,
2014,7.2,,,
2018,5.8,,,
2009,6.9,,,
2013,7.6,,,
2006,5.6,,,
2021,6.7,,,
2019,5.6,,,
2021,6.9,,,
2008,6.7,,,
2019,7.2,,,
2020,6.3,,,
2011,6.3,,,
2013,7.3,,,
2017,7.8,,,
2015,5.3,,,
2020,5.7,,,
2017,6.2,,,
2020,5.3,,,
2018,6.6,,,
2020,8.0,,,
2003,6.6,,,
2018,5.2,,,
2016,7.6,,,
2021,4.9,,,
2018,8.5,,,
2001,5.6,,,
2011,4.6,,,
2018,5.7,,,
2021,8.0,,,
2020,5.5,,,
2002,5.6,5.6,,
2019,5.6,,,
1994,7.8,,,
2018,6.0,,,
2020,6.7,,,
2017,6.3,,,
2017,5.8,,,
2019,7.1,,,
2015,6.0,,,
2016,7.2,,,
2018,7.3,,,
2012,7.2,,,
2019,6.6,,,
2020,4.8,,,
2006,6.8,,,
2019,4.7,,,
2018,8.1,,,
2017,6.1,,,
2017,6.7,,,
2016,5.6,,,
2018,8.6,,,
2018,6.7,,,
2017,5.7,,,
2020,6.4,,,
2017,5.8,,,
2018,6.3,6.3,,
2016,5.9,,,
2011,5.7,,,
1989,8.4,,,
2017,6.1,,,
2007,7.3,,,
2018,6.2,,,
1994,4.5,,,
2012,7.1,,,
2017,6.2,,,
2010,7.4,,,
2015,5.5,,,
2016,7.5,7.5,,
2021,5.4,,,
2020,6.3,,,
2021,6.6,,,
2014,7.7,,,
2016,7.3,,,
2016,7.4,,,
2009,7.4,,,
2019,6.9,,,
2016,7.1,,,
2020,5.6,,,
2019,7.0,,,
2018,7.1,,,
2010,7.1,,,
2020,5.2,,,
1994,7.5,,,
2020,5.3,,,
2019,7.0,,,
2020,6.5,,,
2014,7.3,,,
2006,5.7,,,
2017,5.4,,,
2015,5.3,,,
2020,7.3,,,
2016,4.5,,,
2014,7.8,7.8,,
2020,7.6,,,
2015,7.4,,,
2020,6.1,,,
2020,5.6,,,
2018,8.4,,,
2017,6.2,,,
2019,8.6,,,
2017,7.3,,,
2015,6.4,,,
2015,6.9,,,
2017,5.3,,,
2019,7.4,,,
2003,7.8,,,
1998,6.4,,,
2017,6.3,,,
2020,3.3,,,
2017,7.6,,,
2017,5.5,,,
2018,7.1,,,
2019,6.4,,,
2017,6.9,,,
2017,6.8,,,
2017,7.5,,,
2020,6.1,,,
2015,6.6,,,
2007,7.1,,,
2018,5.8,,,
2011,7.7,,,
2019,7.5,,,
2018,5.1,,,
2018,5.7,,,
2013,6.7,,,
2019,7.3,,,
2001,6.5,,,
2015,6.7,,,
2015,6.5,,,
2019,6.4,,,6.4
2021,6.3,,,
2014,5.6,,,
2021,7.3,,,
2021,6.9,,,
2004,8.0,,,
2021,7.0,,,
2011,7.2,,,
2006,7.1,,,
2019,6.5,,,
2014,7.3,,,
2013,3.5,,,
2012,5.7,,,5.7
2002,7.2,7.2,,
2019,6.2,,,
1992,4.9,,,
2014,5.2,5.2,5.2,5.2
2017,7.1,,,
2016,7.2,,,
2018,5.3,,,
2003,7.7,,,
2018,7.4,,,
2019,5.0,,,
2010,8.0,8.0,,
2018,6.0,,,
2017,5.0,,,
2018,6.4,,,
2005,7.1,,,
1981,6.8,,,
2011,7.2,7.2,,
2017,5.8,,,
2020,6.2,,,
2021,7.1,,,
2020,6.0,,,
2015,5.6,,,
2017,7.0,,,
2019,5.5,,,
2018,7.0,,,
2008,7.3,,,
2017,5.5,,,
2014,6.3,,,
2020,6.6,,,
2017,6.8,,,
